종목코드,종목명,시장구분,소속부,소속부,업종코드,업종명,결산월,지정자문인,상장주식수,액면가,자본금,통화구분,대표이사,대표전화,주소
"011150","CJ씨푸드","KOSPI",,,"031007","기타 식품 제조업","12",,"35930773","500","18065386500","원(KRW)","이인덕, 오재석(각자대표)","031-730-9114","경기도 성남시 중원구  둔촌대로388번길 32 (상대원동)"
"097950","CJ제일제당","KOSPI",,,"031007","기타 식품 제조업","12",,"15054186","5000","81908095000","원(KRW)","손경식, 최은석 (각자 대표이사)","726-8114","서울특별시 중구  동호로 330 "
"051500","CJ프레시웨이","KOSDAQ","중견기업부",,"074603","음·식료품 및 담배 도매업","12",,"11871586","1000","11871586000","원(KRW)","정성필","02-2149-6607","경기도 용인시 기흥구  기곡로 32  "
"058820","CMG제약","KOSDAQ","우량기업부",,"032102","의약품 제조업","12",,"138892244","500","69446122000","원(KRW)","이주형","031-881-7600","서울특별시 강남구 학동로 170 베터라이프빌딩 3층(논현동) "
"023460","CNH","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"37200000","2500","93000000000","원(KRW)","임영기,김양수(각자 대표이사)","02-3287-0700","경기도 부천시 원미구 상일로 120 411(상동,송내리더스텔)"
"056730","CNT85","KOSDAQ","관리종목(소속부없음)",,"074607","기타 전문 도매업","12",,"70703912","500","35351956000","원(KRW)","박종승","02-3467-2700","경기도 안양시 동안구 학의로 268 6층 625호(관양동,안양메가밸리)"
"056000","COWON","KOSDAQ","투자주의환기종목(소속부없음)",,"105802","소프트웨어 개발 및 공급업","12",,"19720225","500","9860112500","원(KRW)","이승훈","02-557-9482","서울특별시 강남구 언주로 540 코원타워 5층"
"065770","CS","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"19411130","500","9705565000","원(KRW)","최규훈","031-622-3200","경기도 성남시 분당구 판교로228번길 15 윈스동 10층 (삼평동 판교세븐벤처밸리1)"
"083660","CSA 코스믹","KOSDAQ","관리종목(소속부없음)",,"032004","기타 화학제품 제조업","12",,"39195943","500","19597971500","원(KRW)","조성아","02-483-0077","서울특별시 강남구 학동로30길 20 -"
"000590","CS홀딩스","KOSPI",,,"116409","기타 금융업","12",,"1154482","5000","5772410000","원(KRW)","임규섭","02-3459-9363","경상북도 포항시 남구 괴동로 43 (장흥동)"
"012030","DB","KOSPI",,,"106201","컴퓨터 프로그래밍, 시스템 통합 및 관리업","12",,"201173933","500","100586966500","원(KRW)","문덕식,강운식 (각자 대표이사)","02-2136-6000","서울특별시 강남구 삼성로96길 23 7층"
"404950","DB금융스팩10호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"5840000","100","584000000","원(KRW)","곽대환","02-369-3521","서울특별시 영등포구 국제금융로8길 32 "
"367340","DB금융스팩8호","KOSDAQ","SPAC(소속부없음)",,"116409","기타 금융업","12",,"6050000","100","605000000","원(KRW)","홍창배","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"367360","DB금융스팩9호","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"4840000","100","484000000","원(KRW)","김창희","02-369-3972","서울특별시 영등포구 국제금융로8길 32 "
"016610","DB금융투자","KOSPI",,,"116601","금융 지원 서비스업","12",,"42446389","5000","212231945000","원(KRW)","고원종","02-369-3000","서울특별시 영등포구 국제금융로8길 32 동부증권빌딩"
"005830","DB손해보험","KOSPI",,,"116501","보험업","12",,"70800000","500","35400000000","원(KRW)","김정남","02-1588-0100","서울특별시 강남구  테헤란로 432 "
"000990","DB하이텍","KOSPI",,,"032601","반도체 제조업","12",,"44398588","5000","222554520000","원(KRW)","최창식","02-3484-2888","경기도 부천시 수도로 90 (주)DB하이텍"
"139130","DGB금융지주","KOSPI",,,"116409","기타 금융업","12",,"169145833","5000","845729165000","원(KRW)","김태오","0537407900","대구광역시 북구 옥산로 111 대구은행 제2본점 9층"
"001530","DI동일","KOSPI",,,"074601","상품 중개업","12",,"2510655","5000","12553275000","원(KRW)","서태원, 손재선","02-2222-3071","서울특별시 강남구  테헤란로 516 정헌빌딩 8층"
"000210","DL","KOSPI",,,"116409","기타 금융업","12",,"20955884","5000","138709995000","원(KRW)","전병욱","02-2011-7114","서울특별시 종로구 통일로 134 디타워 돈의문"
"001880","DL건설","KOSPI",,,"064101","건물 건설업","12",,"22053284","5000","110266420000","원(KRW)","조남창","032-518-3535","인천광역시 남동구  미래로 14 "
"375500","DL이앤씨","KOSPI",,,"064102","토목 건설업","12",,"19358738","5000","107363115000","원(KRW)","마창민","02-2011-7114","서울특별시 종로구 통일로 134 "
"068790","DMS","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"24573061","500","12286530500","원(KRW)","박용석","031-8031-1133","경기도 용인시 기흥구 흥덕중앙로 120 유타워 6층 (영덕동)"
"004840","DRB동일","KOSPI",,,"032201","고무제품 제조업","12",,"19930000","500","9965000000","원(KRW)","류영식","051-520-9000","부산광역시 금정구 공단동로55번길 28 "
"241520","DSC인베스트먼트","KOSDAQ","벤처기업부",,"116402","신탁업 및 집합투자업","12",,"27811403","500","13905701500","원(KRW)","윤건수","02-3453-3190","서울특별시 성동구 뚝섬로1길 10 (성수동1가) 3층"
"155660","DSR","KOSPI",,,"032402","1차 비철금속 제조업","12",,"16000000","500","8000000000","원(KRW)","홍석빈","02-3420-3591","부산광역시 강서구 녹산산업중로192번길 7 "
"069730","DSR제강","KOSPI",,,"032401","1차 철강 제조업","12",,"14400000","500","7200000000","원(KRW)","홍하종","061-752-0121","전라남도 순천시  서면 산단1길 15 "
"017940","E1","KOSPI",,,"074607","기타 전문 도매업","12",,"6860000","5000","34300000000","원(KRW)","구자용, 구동휘, 천정식 (각자 대표이사)","02-3441-4114","서울특별시 용산구 한강대로 92 LS용산타워"
"245620","EDGC","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"83694922","100","8369492200","원(KRW)","각자대표이사 신상철, 이민섭","032-713-2100","인천광역시 연수구 하모니로 291, 4층 &nbsp"
"037370","EG","KOSDAQ","중견기업부",,"064102","토목 건설업","12",,"8287477","1000","8287477000","원(KRW)","박지만","041 -750 -7777","충청남도 금산군 추부면 서대산로 459 "
"278990","EMB","KONEX","일반기업부",,"032801","전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업","12","SK증권","3628222","500","1814111000","원(KRW)","홍지태","031-463-8983","경기도 안양시 만안구 전파로 24번길 934층 "
"079190","EMW","KOSDAQ","벤처기업부",,"032604","통신 및 방송 장비 제조업","12",,"31784197","500","15892098500","원(KRW)","이승준, LLOYD YEONSU LEE (각자 대표이사)","02-2107-5500","인천광역시 남동구  남동서로 155 (고잔동, 남동공단80블럭4로트)"
"365550","ESR켄달스퀘어리츠","KOSPI",,,"126801","부동산 임대 및 공급업","05",,"213089000","1000","213089000000","원(KRW)","박래익","02-6205-0467","서울특별시 영등포구 국제금융로 10 (여의도동, 서울국제금융센터) 35층 "
"050120","ES큐브","KOSDAQ","중견기업부",,"074604","생활용품 도매업","12",,"13564086","5000","69092013500","원(KRW)","신희민","02-3446-4875","서울특별시 강남구 강남대로 556 12층(논현동, 논현빌딩) "
"383220","F&F","KOSPI",,,"031401","봉제의복 제조업","12",,"7661415","500","3830707500","원(KRW)","김창수","02-520-0027","서울특별시 강남구 언주로 541 "
"007700","F&F홀딩스","KOSPI",,,"116409","기타 금융업","12",,"39114367","500","19557183500","원(KRW)","박의헌","02-520-0001","서울특별시 강남구  언주로 541(역삼동,외 에프앤에프빌딩) "
"214270","FSN","KOSDAQ","중견기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904552","500","13952276000","원(KRW)","이상석, 서정교 (각자 대표이사)","02-541-3126","서울특별시 강남구 언주로 637 싸이칸타워 "
"130500","GH신소재","KOSDAQ","중견기업부",,"031309","기타 섬유제품 제조업","12",,"14545052","500","7272526000","원(KRW)","우희구","054-460-8100","경상북도 구미시  1공단로4길 141-54 "
"114090","GKL","KOSPI",,,"189102","유원지 및 기타 오락관련 서비스업","12",,"61855670","500","30927835000","원(KRW)","김영산","02-6421-6000","서울특별시 강남구 삼성로 610 삼성동"
"900290","GRT","KOSDAQ","외국기업(소속부없음)",,"116409","기타 금융업","06",,"67375000","무액면","770089223","중국위안(CNY)","주영남","85236458129","Room 01, 21F, Prosper Commercial Building, 9 Yin Chong Street, Kowloon, Hong Kong "
"078930","GS","KOSPI",,,"116409","기타 금융업","12",,"92915378","5000","473501020000","원(KRW)","허태수, 홍순기 (각자 대표이사)","-","서울특별시 강남구 논현로 508 "
"083450","GST","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"9317745","500","4658872500","원(KRW)","김덕준, 장광수(각자대표)","031-371-2200","경기도 화성시 동탄면 동탄산단6길 15-13 "
"006360","GS건설","KOSPI",,,"064101","건물 건설업","12",,"85581490","5000","427907450000","원(KRW)","허창수, 임병용(각자 대표이사)","02-2154-1112","서울특별시 종로구 종로 33 그랑서울"
"001250","GS글로벌","KOSPI",,,"074608","상품 종합 도매업","12",,"82533764","2500","206334410000","원(KRW)","김태형","02-2005-5300","서울특별시 강남구 논현로 508 GS강남타워 "
"007070","GS리테일","KOSPI",,,"074701","종합 소매업","12",,"104717922","1000","104717922000","원(KRW)","허연수, 김호성","02-2005-1114","서울특별시 강남구 논현로 508GS타워(역삼동 679) "
"297890","HB솔루션","KOSDAQ","중견기업부",,"032902","특수 목적용 기계 제조업","12",,"16713053","500","8356526500","원(KRW)","이흥근, 이재원(공동 대표이사)","041-549-8850","충청남도 아산시 음봉면 연암율금로 77-26 "
"078150","HB테크놀러지","KOSDAQ","우량기업부",,"032902","특수 목적용 기계 제조업","12",,"78990426","500","39495213000","원(KRW)","문성준","031-332-0060","충청남도 아산시 음봉면 산동로 87 "
"012630","HDC","KOSPI",,,"116409","기타 금융업","12",,"59741721","5000","298708605000","원(KRW)","정몽규, 유병규","02-2008-9114","서울특별시 강남구 영동대로 520 아이파크타워"
"039570","HDC랩스","KOSPI",,,"064203","전기 및 통신 공사업","12",,"25957601","500","12978800500","원(KRW)","김성은","031-785-1700","경기도 성남시 분당구 정자일로213번길 5 "
"089470","HDC현대EP","KOSPI",,,"032004","기타 화학제품 제조업","12",,"31900000","500","17200000000","원(KRW)","정 중 규","041-350-0500","충청남도 당진시  석문면 대호만로 1221-32 현대EP 주식회사"
"294870","HDC현대산업개발","KOSPI",,,"064101","건물 건설업","12",,"65907330","5000","329536650000","원(KRW)","권순호, 정경구, 하원기  (각자 대표이사)","02-2008-9114","서울특별시 용산구 한강대로23길 55 현대아이파크몰 9층 "
"097230","HJ중공업","KOSPI",,,"064102","토목 건설업","12",,"83274281","5000","416371405000","원(KRW)","홍문기","051-410-3114","부산광역시 영도구  태종로 233 한진중공업"
"195940","HK이노엔","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"28904499","500","14452249500","원(KRW)","곽달원","02-6477-0000","서울특별시 중구 을지로 100 (을지로 2가, 파인에비뉴 에이동) "
"028300","HLB","KOSDAQ","중견기업부",,"033101","선박 및 보트 건조업","12",,"106610064","500","53305032000","원(KRW)","진양곤, 김동건 (각자대표)","02-3453-4414","울산광역시 울주군  온산읍 당월로 216-53 "
"067630","HLB생명과학","KOSDAQ","중견기업부",,"137201","건축기술, 엔지니어링 및 관련 기술 서비스업","12",,"95498081","500","47749040500","원(KRW)","진양곤, 남상우 (각자대표)","02-2627-6700","경기도 화성시 동탄첨단산업1로 51-9 8층(영천동,엠타워지식산업센터)"
"047920","HLB제약","KOSDAQ","기술성장기업부","기술성장기업","137001","자연과학 및 공학 연구개발업","12",,"26448051","500","13224025500","원(KRW)","박재형, 전복환 각자대표","02-411-1514","경기도 남양주시 경강로 27 "
"115450","HLB테라퓨틱스","KOSDAQ","중견기업부",,"074607","기타 전문 도매업","12",,"31335211","500","15667605500","원(KRW)","안기홍","031-786-7800","경기도 성남시 분당구  정자일로 248 2201 "
"011200","HMM","KOSPI",,,"085001","해상 운송업","12",,"489039496","5000","2445197480000","원(KRW)","배재훈","02-3706-5114","서울특별시 종로구  율곡로 194 "
"036640","HRS","KOSDAQ","중견기업부",,"032002","합성고무 및 플라스틱 물질 제조업","12",,"16354800","500","8177400000","원(KRW)","김진성","02  -780 -6156","경기도 평택시  팽성읍 추팔산단2길 7 "
"082740","HSD엔진","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"46721246","1000","46721246000","원(KRW)","고영열","055-260-6000","경상남도 창원시 성산구 공단로 67 (신촌동)"
"335870","IBKS제12호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3120000","100","312000000","원(KRW)","-","02-6915-5573","서울특별시 영등포구 국제금융로6길 11 &nbsp"
"351340","IBKS제13호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"5170000","100","517000000","원(KRW)","김강민","02-6915-5361","서울특별시 영등포구 국제금융로6길 11 (여의도동, 삼덕빌딩) "
"388790","IBKS제16호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"3410000","100","341000000","원(KRW)","전구택","02-6915-5356","서울특별시 영등포구 국제금융로6길 11 "
"405350","IBKS제17호스팩","KOSDAQ","SPAC(소속부없음)",,"116601","금융 지원 서비스업","12",,"2720000","100","272000000","원(KRW)","이경준","02-6915-5331","서울특별시 영등포구 국제금융로6길 11 "
"003560","IHQ","KOSPI",,,"105901","영화, 비디오물, 방송프로그램 제작 및 배급업","12",,"146235748","500","73117874000","원(KRW)","김형철","02-6005-6000","서울특별시 강서구 강서로 501-8 6층 "
"095340","ISC","KOSDAQ","우량기업부",,"032602","전자부품 제조업","12",,"17399471","500","8699735500","원(KRW)","김정렬, 김상욱 (각자 대표이사)","031-777-7675","경기도 성남시 중원구  갈마치로 215 (상대원동, 금강펜테리움IT타워 6층)"
"099520","ITX-AI","KOSDAQ","관리종목(소속부없음)",,"032605","영상 및 음향기기 제조업","12",,"29301683","500","14650841500","원(KRW)","박상열, 유건상 (각자 대표이사)","02-2082-8500","서울특별시 금천구  가산디지털1로 212 코오롱디지털타워애스턴 906호"
"175330","JB금융지주","KOSPI",,,"116409","기타 금융업","12",,"196982894","5000","984914470000","원(KRW)","김기홍","02-2128-2727","전라북도 전주시 덕진구  백제대로 566 "
"950170","JTC","KOSDAQ","외국기업(소속부없음)",,"074701","종합 소매업","02",,"35005517","무액면","0","일본엔(JPY)","구철모","02-785-9101","6F Hakata Prestige Bldg., 2-17-1, Hakata-ekimae, Hakata-Ku,Fukuoka 8120011, Japan "
"234080","JW생명과학","KOSPI",,,"032102","의약품 제조업","12",,"15834554","2500","39586385000","원(KRW)","차성남","041-351-7600","충청남도 당진시 송악읍 한진1길 28 "
"067290","JW신약","KOSDAQ","중견기업부",,"032102","의약품 제조업","12",,"46127437","500","23063718500","원(KRW)","백승호","02-840-6111","서울특별시 서초구 남부순환로 2477 "
"001060","JW중외제약","KOSPI",,,"032102","의약품 제조업","12",,"22178081","2500","56159357500","원(KRW)","대표이사 신영섭, 이성열(각자 대표이사)","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"096760","JW홀딩스","KOSPI",,,"116409","기타 금융업","12",,"70444706","500","35222353000","원(KRW)","이경하, 한성권","02-840-6777","서울특별시 서초구  남부순환로 2477 "
"035900","JYP Ent.","KOSDAQ","우량기업부",,"105902","오디오물 출판 및 원판 녹음업","12",,"35497492","500","17943451500","원(KRW)","정욱","02-2225-8100","서울특별시 강동구 강동대로 205 (성내동, JYP Center 빌딩) "
"024840","KBI메탈","KOSDAQ","우량기업부",,"032402","1차 비철금속 제조업","12",,"32950848","500","16475424000","원(KRW)","박한상","053-610-5610","대구광역시 달성군 논공읍 논공로87길 88 갑을메탈 대구공장"
"105560","KB금융","KOSPI",,,"116409","기타 금융업","12",,"415807920","5000","2090557685000","원(KRW)","윤종규","02-2073-7114","서울특별시 영등포구 국제금융로8길 26 (여의도동, 국민은행 여의도본점)"
"024120","KB오토시스","KOSDAQ","우량기업부",,"033003","자동차 신품 부품 제조업","12",,"11500000","500","5750000000","원(KRW)","김신완","041-537-5345","충청남도 아산시  음봉면 아산온천로 528-24 "
"002380","KCC","KOSPI",,,"032004","기타 화학제품 제조업","12",,"8886471","5000","48084660000","원(KRW)","정몽진, 정재훈","02-3480-5000","서울특별시 서초구  사평대로 344 (주)케이씨씨 빌딩"
"021320","KCC건설","KOSDAQ","우량기업부",,"064101","건물 건설업","12",,"21400000","5000","107000000000","원(KRW)","정몽열,윤희영","02-513-5500","서울특별시 서초구  강남대로 587 KCC 건설 "
"344820","KCC글라스","KOSPI",,,"032301","유리 및 유리제품 제조업","12",,"15970512","1000","15970512000","원(KRW)","김내환",,"서울특별시 서초구 강남대로 587(잠원동) "
"036670","KCI","KOSDAQ","우량기업부",,"032004","기타 화학제품 제조업","12",,"11270000","500","5635000000","원(KRW)","이진용","031 -497 -6411","충남 서산시 대산읍 대죽리 13-7 "
"009070","KCTC","KOSPI",,,"084903","도로 화물 운송업","12",,"30000000","500","15000000000","원(KRW)","이준환","02-310-0700","서울특별시 중구 남대문로 63 한진빌딩 "
"009440","KC그린홀딩스","KOSPI",,,"116409","기타 금융업","12",,"22434980","500","11217490000","원(KRW)","이태영","02-320-6311","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"112190","KC산업","KONEX","일반기업부",,"032303","시멘트, 석회, 플라스터 및 그 제품 제조업","12","하이증권","7125253","500","3562626500","원(KRW)","이홍재, 박광노(각자대표)","031-883-8684","경기도 여주시 가남읍 가남로 465 "
"119650","KC코트렐","KOSPI",,,"032901","일반 목적용 기계 제조업","12",,"17600000","500","8800000000","원(KRW)","김태우","02-320-6114","서울특별시 마포구 상암산로 34디지털큐브 12층 "
"044180","KD","KOSDAQ","중견기업부",,"064101","건물 건설업","12",,"24848641","500","12424320500","원(KRW)","안태일","070-5138-4366","경기도 안산시 단원구 광덕서로 102 406-3호"
"092220","KEC","KOSPI",,,"032601","반도체 제조업","12",,"144748141","500","72374070500","원(KRW)","박남규 김학남","02-2025-5000","서울특별시 서초구  마방로10길 5 "
"151860","KG ETS","KOSDAQ","우량기업부",,"053802","폐기물 처리업","12",,"36000000","500","20051860000","원(KRW)","엄기민","031-488-1122","경기도 시흥시  소망공원로 5 (정왕동) KG ETS(주)"
"016380","KG동부제철","KOSPI",,,"032401","1차 철강 제조업","12",,"100008897","5000","500311410000","원(KRW)","박성희","02-3450-8027","서울특별시 중구 한강대로 416 서울스퀘어 7층"
"046440","KG모빌리언스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"38825568","500","19412784000","원(KRW)","고규영","(02)2192-2000","서울특별시 중구 통일로 92 케이지타워 16층"
"035600","KG이니시스","KOSDAQ","우량기업부",,"105802","소프트웨어 개발 및 공급업","12",,"27904434","500","13952217000","원(KRW)","유승용","02-1588-4954","서울특별시 중구 통일로 92 케이지타워 14,15층"
"001390","KG케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"13866096","5000","71638725000","원(KRW)","곽정현, 김재익","052-231-1842","울산광역시 울주군 온산읍 당월로 322 "
"226360","KH E&T","KOSDAQ","벤처기업부",,"064102","토목 건설업","12",,"76199569","100","7619956900","원(KRW)","강정식","02-6114-0920","서울특별시 금천구 가산디지털1로 165 1401호, 1402호 (가산동)"
"111870","KH 일렉트론","KOSDAQ","중견기업부",,"032605","영상 및 음향기기 제조업","12",,"111072721","500","55536360500","원(KRW)","배보성","032-683-7300","경기도 부천시 오정구  삼작로107번길 52 "
"033180","KH 필룩스","KOSPI",,,"032602","전자부품 제조업","12",,"141294023","500","70797011500","원(KRW)","한우근","070-7780-8000","경기도 양주시 광적면 광적로 235-48 "
"060720","KH바텍","KOSDAQ","중견기업부",,"032602","전자부품 제조업","12",,"23677442","500","11838721000","원(KRW)","남광희","054-465-0630","경상북도 구미시  1공단로10길 53-12 (주)KH바텍 "
"001940","KISCO홀딩스","KOSPI",,,"032401","1차 철강 제조업","12",,"18476380","1000","18476380000","원(KRW)","장세홍, 이병제 (각자대표)","055-260-0500","경상남도 창원시 성산구  공단로103번길 12 한국철강(주) "
"122450","KMH","KOSDAQ","중견기업부",,"106002","텔레비전 방송업","12",,"45335964","500","22768238500","원(KRW)","한찬수, 이강봉(각자 대표이사)","02-2647-1255","서울특별시 양천구  목동서로 201 KT정보전산센터 7층"
"052900","KMH하이텍","KOSDAQ","중견기업부",,"032202","플라스틱제품 제조업","12",,"51628046","500","25814023000","원(KRW)","이상국","(041)539-6114","충청남도 아산시  음봉면 연암율금로 330 비아이이엠티 "
"058400","KNN","KOSDAQ","우량기업부",,"106002","텔레비전 방송업","12",,"132429720","500","66214860000","원(KRW)","이오상","051-850-9000","부산광역시 해운대구  센텀서로 30 케이엔엔타워 "
"114450","KPX생명과학","KOSDAQ","중견기업부",,"032101","기초 의약물질 및 생물학적 제제 제조업","12",,"15000000","500","7500000000","원(KRW)","이기성","061-688-4600","전라남도 여수시 여수산단2로 84 "
"025000","KPX케미칼","KOSPI",,,"032001","기초 화학물질 제조업","12",,"4840000","5000","24200000000","원(KRW)","양준영, 김문영, 최재호(각자대표이사)","02-2014-4000","서울특별시 마포구  마포대로 137  KPX빌딩"
"092230","KPX홀딩스","KOSPI",,,"032001","기초 화학물질 제조업","12",,"4224646","5000","21123230000","원(KRW)","양준영","02-2014-4150","서울특별시 마포구  마포대로 137 KPX빌딩 19층"
"000040","KR모터스","KOSPI",,,"033109","그외 기타 운송장비 제조업","12",,"96137368","500","48068684000","원(KRW)","노성석","055-282-7011","경상남도 창원시 성산구 완암로 28 　"
"044450","KSS해운","KOSPI",,,"085001","해상 운송업","12",,"23185880","500","11592940000","원(KRW)","이대성","3702-2700","서울특별시 종로구 인사동길 12 대일빌딩 8층 "
"030200","KT","KOSPI",,,"106102","전기 통신업","12",,"261111808","5000","1564498835000","원(KRW)","구현모, 박종욱","031-727-0114","경기도 성남시 분당구 불정로 90 KT 본사 "
"033780","KT&G","KOSPI",,,"031201","담배 제조업","12",,"137292497","5000","954959485000","원(KRW)","Baek, Bok-In","042-939-5000","대전광역시 대덕구 벚꽃길 71 주식회사 케이티앤지"
"030210","KTB투자증권","KOSPI",,,"116601","금융 지원 서비스업","12",,"60314092","5000","301570460000","원(KRW)","이병철, 이창근 (각자 대표이사)","02-2184-2000","서울특별시 영등포구 여의나루로 60 여의도포스트타워"
"058850","KTcs","KOSPI",,,"106309","기타 정보 서비스업","12",,"42685000","500","23842500000","원(KRW)","박경원","042-604-5138","대전광역시 서구 갈마로 160 "
"058860","KTis","KOSPI",,,"106309","기타 정보 서비스업","12",,"34802000","500","17401000000","원(KRW)","윤경근","02-3215-2054","서울특별시 영등포구 여의대로 14 케이티빌딩 10층"
"060370","KT서브마린","KOSDAQ","중견기업부",,"064203","전기 및 통신 공사업","12",,"21900000","1000","21900000000","원(KRW)","김형준","(051)704-0004","부산광역시 해운대구 송정광어골로 42  "
"093050","LF","KOSPI",,,"031401","봉제의복 제조업","12",,"29240000","5000","146200000000","원(KRW)","오규식, 김상균 (각자 대표이사)","02-3441-8114","서울특별시 강남구 언주로 870 (신사동) "
"003550","LG","KOSPI",,,"116409","기타 금융업","12",,"157300993","5000","801613065000","원(KRW)","구광모, 권봉석","02-3773-1114","서울특별시 영등포구  여의대로 128 "
"034220","LG디스플레이","KOSPI",,,"032602","전자부품 제조업","12",,"357815700","5000","1789078500000","원(KRW)","정호영","02-3777-1010","서울특별시 영등포구 여의대로 128 LG트윈타워 (동관 12층) "
"051900","LG생활건강","KOSPI",,,"032004","기타 화학제품 제조업","12",,"15618197","5000","88589470000","원(KRW)","차 석 용","02-3773-1114","서울특별시 종로구  새문안로 58 "
"373220","LG에너지솔루션","KOSPI",,,"032802","일차전지 및 축전지 제조업","12",,"234000000","500","117000000000","원(KRW)","권영수",,"서울특별시 영등포구 여의대로 108, 타워 1 "
"032640","LG유플러스","KOSPI",,,"106102","전기 통신업","12",,"436611361","5000","2573969175000","원(KRW)","황현식","02-3773-1114","서울특별시 용산구 한강대로 32 (한강로3가) LG유플러스 용산사옥"
